"codigo_pais","pais","anio","pbi_pc","coef_gini","poblacion","exp_servicios","region","nivel_ingreso","pbi_indust_pc","pbi_indust_pc_idx","variacion_idx","grupo"
"ARG","Argentina",1979,10284.6064087552,NA,27568895,1.369e+09,"Latin America & Caribbean","Upper middle income",3041.86874995603,105.72219760109,-9.3379683957855,"Menos industrializado"
"ARG","Argentina",1980,10275.7987023886,40.8,28011596,1.876e+09,"Latin America & Caribbean","Upper middle income",2879.7273124353,100.086862711266,-9.3379683957855,"Menos industrializado"
"ARG","Argentina",1981,9587.67379423426,NA,28463959,1.716e+09,"Latin America & Caribbean","Upper middle income",2497.18735404248,86.7914287540637,-9.3379683957855,"Menos industrializado"
"ARG","Argentina",1982,9365.68465387847,NA,28924262,1.574e+09,"Latin America & Caribbean","Upper middle income",2388.95486540632,83.0297356992221,-9.3379683957855,"Menos industrializado"
"ARG","Argentina",2009,12285.3784651865,43.8,40854831,10544621323.6347,"Latin America & Caribbean","Upper middle income",2723.30670485821,94.650359120049,-9.3379683957855,"Menos industrializado"
"ARG","Argentina",2010,13387.1553748458,43.7,41288694,12817143360.6087,"Latin America & Caribbean","Upper middle income",2988.62534031026,103.871687030702,-9.3379683957855,"Menos industrializado"
"ARG","Argentina",2002,8861.56199282278,53.8,38029349,3420200000,"Latin America & Caribbean","Upper middle income",1859.2074880346,64.6180087271223,-9.3379683957855,"Menos industrializado"
"ARG","Argentina",2012,13754.4254235596,41.4,42161721,14247100729.5577,"Latin America & Caribbean","Upper middle income",3059.32022222238,106.328735276129,-9.3379683957855,"Menos industrializado"
"ARG","Argentina",1974,10100.4469136163,NA,25461351,NA,"Latin America & Caribbean","Upper middle income",3279.25637703415,113.972764499603,-9.3379683957855,"Menos industrializado"
"ARG","Argentina",2016,13265.8860639123,42.3,43900313,13424706884.2252,"Latin America & Caribbean","Upper middle income",2693.47996275467,93.613710605049,-9.3379683957855,"Menos industrializado"
"ARG","Argentina",2006,11870.2791559298,46.4,39622115,7911015092.92039,"Latin America & Caribbean","Upper middle income",2717.31843995434,94.4422329392385,-9.3379683957855,"Menos industrializado"
"ARG","Argentina",2003,9545.53194119994,51,38424282,4385610000,"Latin America & Caribbean","Upper middle income",2133.91473677244,74.1656442172908,-9.3379683957855,"Menos industrializado"
"ARG","Argentina",2004,10302.4465316428,48.5,38815916,5168450000,"Latin America & Caribbean","Upper middle income",2366.71808775737,82.2568815119242,-9.3379683957855,"Menos industrializado"
"ARG","Argentina",2005,11099.7509190602,47.8,39216789,6458060000,"Latin America & Caribbean","Upper middle income",2516.41489579872,87.4596949206978,-9.3379683957855,"Menos industrializado"
"ARG","Argentina",2007,12811.9021206578,46.3,40016763,10045736496.1757,"Latin America & Caribbean","Upper middle income",2893.22297074844,100.555913407474,-9.3379683957855,"Menos industrializado"
"ARG","Argentina",2008,13197.3570267029,45,40424148,11424149071.7763,"Latin America & Caribbean","Upper middle income",2967.77645180445,103.147069865545,-9.3379683957855,"Menos industrializado"
"ARG","Argentina",2013,13946.0950832252,41.1,42582455,13679891768.3753,"Latin America & Caribbean","Upper middle income",3074.63618959399,106.86105203994,-9.3379683957855,"Menos industrializado"
"ARG","Argentina",1975,9936.49583447894,NA,25874107,NA,"Latin America & Caribbean","Upper middle income",3144.57506264061,109.291824687951,-9.3379683957855,"Menos industrializado"
"ARG","Argentina",2001,10051.9448463043,53.3,37624825,4588753076.83111,"Latin America & Caribbean","Upper middle income",2115.26895415193,73.5175974813292,-9.3379683957855,"Menos industrializado"
"BRA","Brazil",1984,5841.74919254,58.3,132658864,1.947e+09,"Latin America & Caribbean","Upper middle income",951.947601142981,159.299871017811,43.599561919508,"Menos industrializado"
"BRA","Brazil",2000,6817.78345634413,NA,174018282,8396328525.13575,"Latin America & Caribbean","Upper middle income",930.740412384953,155.751038676884,43.599561919508,"Menos industrializado"
"BRA","Brazil",1972,4268.38335589405,NA,100146797,NA,"Latin America & Caribbean","Upper middle income",726.616908661758,121.592805833221,43.599561919508,"Menos industrializado"
"BRA","Brazil",1973,4748.26191756201,NA,102600976,NA,"Latin America & Caribbean","Upper middle income",829.801723151051,138.859856687076,43.599561919508,"Menos industrializado"
"BRA","Brazil",1970,3595.95044908964,NA,95375651,NA,"Latin America & Caribbean","Upper middle income",597.582154373838,100,43.599561919508,"Menos industrializado"
"BRA","Brazil",1971,3907.01181027174,NA,97739273,NA,"Latin America & Caribbean","Upper middle income",651.941989734589,109.096629637093,43.599561919508,"Menos industrializado"
"BRA","Brazil",1976,5543.43574164572,NA,110213349,1.018e+09,"Latin America & Caribbean","Upper middle income",982.109294491668,164.347159181945,43.599561919508,"Menos industrializado"
"BRA","Brazil",1977,5679.7852565026,NA,112875292,1.207e+09,"Latin America & Caribbean","Upper middle income",988.640988332354,165.440179412365,43.599561919508,"Menos industrializado"
"BRA","Brazil",1978,5821.49064272897,NA,115600942,1.35e+09,"Latin America & Caribbean","Upper middle income",1027.09387411122,171.874924074236,43.599561919508,"Menos industrializado"
"BRA","Brazil",1979,6069.05404485017,NA,118380821,1.475e+09,"Latin America & Caribbean","Upper middle income",1071.21160998132,179.257630459825,43.599561919508,"Menos industrializado"
"BRA","Brazil",1980,6472.8514012089,NA,121207461,1.737e+09,"Latin America & Caribbean","Upper middle income",1143.13597965145,191.293526971075,43.599561919508,"Menos industrializado"
"BRA","Brazil",1981,6055.09711763363,57.9,124063109,2.265e+09,"Latin America & Caribbean","Upper middle income",1018.01778568341,170.356122289179,43.599561919508,"Menos industrializado"
"BRA","Brazil",1982,5967.77830926407,58.4,126923155,1.809e+09,"Latin America & Caribbean","Upper middle income",994.456035075751,166.413275195235,43.599561919508,"Menos industrializado"
"BRA","Brazil",1983,5664.96303325051,58.9,129790077,1.724e+09,"Latin America & Caribbean","Upper middle income",914.981929429266,153.113998256526,43.599561919508,"Menos industrializado"
"BRA","Brazil",2010,8792.63334959864,NA,193701929,30060848687.65,"Latin America & Caribbean","Upper middle income",1091.41356359256,182.638245738141,43.599561919508,"Menos industrializado"
"BRA","Brazil",1999,6621.63600079445,59,171641543,6297722249.53963,"Latin America & Caribbean","Upper middle income",892.830156482094,149.407098245366,43.599561919508,"Menos industrializado"
"BRA","Brazil",1997,6764.85764267331,59.8,166661659,6170229738.89371,"Latin America & Caribbean","Upper middle income",984.62714809735,164.768499341997,43.599561919508,"Menos industrializado"
"BRA","Brazil",1974,5013.81667045545,NA,105089675,NA,"Latin America & Caribbean","Upper middle income",879.013722693174,147.095042289914,43.599561919508,"Menos industrializado"
"BRA","Brazil",1975,5148.9100263446,NA,107619565,1.06e+09,"Latin America & Caribbean","Upper middle income",900.426515583474,150.678280633558,43.599561919508,"Menos industrializado"
"BRA","Brazil",2002,6944.62257593723,58.1,178503484,8711869479.53689,"Latin America & Caribbean","Upper middle income",932.953384914476,156.12135973037,43.599561919508,"Menos industrializado"
