"grupo","n","media","mediana","desvio","minimo","maximo"
"Menos industrializado",7,253.361434853336,206.934221076947,150.283175188934,77.6551420356799,527.971718471902
"Más industrializado",8,841.117685497985,146.346732988284,1483.68960122051,40.5551783000534,4244.41635308005
