"grupo","variable","n","media","mediana","desvio","minimo","maximo"
"Menos industrializado","coef_gini",5,46.52,46.7,7.18762825972518,36.1,54.6
"Más industrializado","coef_gini",4,37.35,37.6,5.52901437871163,31.8,42.4
"Menos industrializado","pbi_indust_pc",7,1485.86036895273,1348.8966975328,687.444448898016,817.869661846624,2435.85270744585
"Más industrializado","pbi_indust_pc",8,5346.93141047707,4006.84056721032,2813.03367284611,2608.55342588474,9949.26698719298
"Menos industrializado","pbi_pc",7,10585.7890699936,10259.1766616403,4148.53843531892,4192.65167890692,14932.8851363122
"Más industrializado","pbi_pc",8,35899.1911071495,37833.5594309924,17780.7477199968,12484.1578844175,65186.5977244157
