"variable","q1","q3","iqr","lim_inf","lim_sup","n_outliers"
"coef_gini",33.4,48.25,14.85,11.125,70.525,0
"pbi_indust_pc_idx",126.44309518924,191.471004929061,65.0279097398215,28.9012305795075,289.012869538793,153
"pbi_pc",5308.82438340882,25060.8267636045,19752.0023801956,-24319.1791868846,54688.8303338979,10
