"variable","n","media","mediana","desvio","minimo","maximo"
"coef_gini",9,42.4444444444444,42.4,7.78798932830405,31.8,54.6
"pbi_indust_pc",15,3545.09825776571,2608.55342588474,2852.11243510372,817.869661846624,9949.26698719298
"pbi_pc",15,24086.2701564768,14318.8389652137,18339.163579874,4192.65167890692,65186.5977244157
